strain	depth_x	Number.of.scaffolds	Total.scaffold.length	Average.scaffold.length	Scaffold.N50	Scaffold.auN	Scaffold.L50	Largest.scaffold	Smallest.scaffold	Number.of.contigs	Total.contig.length	Average.contig.length	Contig.N50	Contig.auN	Contig.L50	Largest.contig	Smallest.contig	Number.of.gaps.in.scaffolds	Total.gap.length.in.scaffolds	Average.gap.length.in.scaffolds	Gap.N50.in.scaffolds	Gap.auN.in.scaffolds	Gap.L50.in.scaffolds	Largest.gap.in.scaffolds	Smallest.gap.in.scaffolds	Base.composition..A.C.G.T.	GC.content..	Number.of.soft.masked.bases	Number.of.segments	Total.segment.length	Average.segment.length	Number.of.gaps	Number.of.paths	Number.of.edges	Average.degree	Number.of.connected.components	Largest.connected.component.length	Number.of.dead.ends	Number.of.disconnected.components	Total.length.disconnected.components	Number.of.separated.components	Number.of.bubbles	Number.of.circular.segments	Number.of.circular.paths	depth	depth_category
24-SA01748-0	10x	5	4907305	981461	4814862	4725713.58	1	4814862	610	5	4907305	981461	4814862	4725713.58	1	4814862	610	0	0	0	0	0	0	0	0	1176547:1279816:1278627:1172315	52.14	0	5	4907305	981461	0	5	3	0.6	2	4814862	6	3	5212	5	0	2	2	10	10
24-SA01748-0	150x	2	4901675	2450837.5	4814713	4730836.63	1	4814713	86962	2	4901675	2450837.5	4814713	4730836.63	1	4814713	86962	0	0	0	0	0	0	0	0	1171023:1277172:1278535:1174945	52.14	0	2	4901675	2450837.5	0	2	3	1.5	2	4814713	0	0	0	2	0	2	2	150	>30
24-SA01748-0	20x	2	4902066	2451033	4814724	4730494.41	1	4814724	87342	2	4902066	2451033	4814724	4730494.41	1	4814724	87342	0	0	0	0	0	0	0	0	1172976:1278658:1277234:1173198	52.14	0	2	4902066	2451033	0	2	3	1.5	2	4814724	0	0	0	2	0	2	2	20	20
24-SA01748-0	30x	2	4901439	2450719.5	4814720	4731069.56	1	4814720	86719	2	4901439	2450719.5	4814720	4731069.56	1	4814720	86719	0	0	0	0	0	0	0	0	1170964:1277112:1278480:1174883	52.14	0	2	4901439	2450719.5	0	2	3	1.5	2	4814720	0	0	0	2	0	2	2	30	30
24-SA01748-0	40x	2	4901962	2450981	4814715	4730573.71	1	4814715	87247	2	4901962	2450981	4814715	4730573.71	1	4814715	87247	0	0	0	0	0	0	0	0	1175027:1278610:1277218:1171107	52.14	0	2	4901962	2450981	0	2	3	1.5	2	4814715	0	0	0	2	0	2	2	40	>30
24-SA01748-0	50x	2	4900658	2450329	4814716	4731788.3	1	4814716	85942	2	4900658	2450329	4814716	4731788.3	1	4814716	85942	0	0	0	0	0	0	0	0	1172628:1278289:1276896:1172845	52.14	0	2	4900658	2450329	0	2	3	1.5	2	4814716	0	0	0	2	0	2	2	50	>30
24-SA01748-0	60x	2	4900792	2450396	4814718	4731667.48	1	4814718	86074	2	4900792	2450396	4814718	4731667.48	1	4814718	86074	0	0	0	0	0	0	0	0	1172671:1278334:1276904:1172883	52.14	0	2	4900792	2450396	0	2	3	1.5	2	4814718	0	0	0	2	0	2	2	60	>30
24-SA01748-0	70x	2	4901918	2450959	4814714	4730612.68	1	4814714	87204	2	4901918	2450959	4814714	4730612.68	1	4814714	87204	0	0	0	0	0	0	0	0	1171113:1277222:1278583:1175000	52.14	0	2	4901918	2450959	0	2	3	1.5	2	4814714	0	0	0	2	0	2	2	70	>30
24-SA01748-0	80x	6	4923045	820507.5	4814715	4710339.31	1	4814715	1068	6	4923045	820507.5	4814715	4710339.31	1	4814715	1068	0	0	0	0	0	0	0	0	1178195:1284186:1282445:1178219	52.14	0	6	4923045	820507.5	0	6	4	0.67	2	4814715	8	4	21440	6	0	2	2	80	>30
24-SA01748-0	90x	2	4901666	2450833	4814716	4730850.79	1	4814716	86950	2	4901666	2450833	4814716	4730850.79	1	4814716	86950	0	0	0	0	0	0	0	0	1171018:1277170:1278536:1174942	52.14	0	2	4901666	2450833	0	2	3	1.5	2	4814716	0	0	0	2	0	2	2	90	>30
24-SA01790-0	100x	1	5035885	5035885	5035885	5035885	1	5035885	5035885	1	5035885	5035885	5035885	5035885	1	5035885	5035885	0	0	0	0	0	0	0	0	1203811:1311930:1315413:1204731	52.17	0	1	5035885	5035885	0	1	2	2	1	5035885	0	0	0	1	0	1	1	100	>30
24-SA01790-0	10x	5	5119158	1023831.6	4259682	3678435.13	1	4259682	3048	9	5119158	568795.33	4208200	3577665.53	1	4208200	3048	0	0	0	0	0	0	0	0	1219141:1313582:1358190:1228245	52.19	0	5	5016194	1003238.8	0	5	4	0.8	1	5010057	4	2	6137	3	2	0	0	10	10
24-SA01790-0	150x	1	5035883	5035883	5035883	5035883	1	5035883	5035883	1	5035883	5035883	5035883	5035883	1	5035883	5035883	0	0	0	0	0	0	0	0	1203811:1311929:1315412:1204731	52.17	0	1	5035883	5035883	0	1	2	2	1	5035883	0	0	0	1	0	1	1	150	>30
24-SA01790-0	200x	1	5035887	5035887	5035887	5035887	1	5035887	5035887	1	5035887	5035887	5035887	5035887	1	5035887	5035887	0	0	0	0	0	0	0	0	1203813:1311930:1315412:1204732	52.17	0	1	5035887	5035887	0	1	2	2	1	5035887	0	0	0	1	0	1	1	200	>30
24-SA01790-0	20x	1	5035892	5035892	5035892	5035892	1	5035892	5035892	1	5035892	5035892	5035892	5035892	1	5035892	5035892	0	0	0	0	0	0	0	0	1203815:1311930:1315412:1204735	52.17	0	1	5035892	5035892	0	1	2	2	1	5035892	0	0	0	1	0	1	1	20	20
24-SA01790-0	30x	1	5035888	5035888	5035888	5035888	1	5035888	5035888	1	5035888	5035888	5035888	5035888	1	5035888	5035888	0	0	0	0	0	0	0	0	1203812:1311931:1315412:1204733	52.17	0	1	5035888	5035888	0	1	2	2	1	5035888	0	0	0	1	0	1	1	30	30
24-SA01790-0	40x	1	5035887	5035887	5035887	5035887	1	5035887	5035887	1	5035887	5035887	5035887	5035887	1	5035887	5035887	0	0	0	0	0	0	0	0	1204734:1315412:1311930:1203811	52.17	0	1	5035887	5035887	0	1	2	2	1	5035887	0	0	0	1	0	1	1	40	>30
24-SA01790-0	50x	1	5035883	5035883	5035883	5035883	1	5035883	5035883	1	5035883	5035883	5035883	5035883	1	5035883	5035883	0	0	0	0	0	0	0	0	1203810:1311930:1315412:1204731	52.17	0	1	5035883	5035883	0	1	2	2	1	5035883	0	0	0	1	0	1	1	50	>30
24-SA01790-0	60x	1	5035883	5035883	5035883	5035883	1	5035883	5035883	1	5035883	5035883	5035883	5035883	1	5035883	5035883	0	0	0	0	0	0	0	0	1204731:1315412:1311930:1203810	52.17	0	1	5035883	5035883	0	1	2	2	1	5035883	0	0	0	1	0	1	1	60	>30
24-SA01790-0	70x	1	5035886	5035886	5035886	5035886	1	5035886	5035886	1	5035886	5035886	5035886	5035886	1	5035886	5035886	0	0	0	0	0	0	0	0	1204731:1315412:1311930:1203813	52.17	0	1	5035886	5035886	0	1	2	2	1	5035886	0	0	0	1	0	1	1	70	>30
24-SA01790-0	80x	1	5035892	5035892	5035892	5035892	1	5035892	5035892	1	5035892	5035892	5035892	5035892	1	5035892	5035892	0	0	0	0	0	0	0	0	1204736:1315413:1311931:1203812	52.17	0	1	5035892	5035892	0	1	2	2	1	5035892	0	0	0	1	0	1	1	80	>30
24-SA01790-0	90x	1	5035883	5035883	5035883	5035883	1	5035883	5035883	1	5035883	5035883	5035883	5035883	1	5035883	5035883	0	0	0	0	0	0	0	0	1204731:1315412:1311930:1203810	52.17	0	1	5035883	5035883	0	1	2	2	1	5035883	0	0	0	1	0	1	1	90	>30
24-SA01811-0	100x	4	4998097	1249524.25	4988372	4978675.52	1	4988372	746	4	4998097	1249524.25	4988372	4978675.52	1	4988372	746	0	0	0	0	0	0	0	0	1193439:1299195:1308279:1197184	52.17	0	4	4998097	1249524.25	0	4	3	0.75	2	4988372	4	2	3351	4	0	2	2	100	>30
24-SA01811-0	10x	5	4991773	998354.6	2541791	2286532.53	1	2541791	6374	5	4991773	998354.6	2541791	2286532.53	1	2541791	6374	0	0	0	0	0	0	0	0	1190990:1292652:1312032:1196099	52.18	0	5	4991773	998354.6	0	5	1	0.2	1	6374	8	4	4985399	5	0	1	1	10	10
24-SA01811-0	150x	2	4991559	2495779.5	4988372	4985189.07	1	4988372	3187	2	4991559	2495779.5	4988372	4985189.07	1	4988372	3187	0	0	0	0	0	0	0	0	1195636:1306661:1297673:1191589	52.17	0	2	4991559	2495779.5	0	2	3	1.5	2	4988372	0	0	0	2	0	2	2	150	>30
24-SA01811-0	20x	2	4991311	2495655.5	4984937	4978579.28	1	4984937	6374	2	4991311	2495655.5	4984937	4978579.28	1	4984937	6374	0	0	0	0	0	0	0	0	1195310:1306412:1297885:1191704	52.18	0	2	4991311	2495655.5	0	2	1	0.5	1	6374	2	1	4984937	2	0	1	1	20	20
24-SA01811-0	30x	2	4994746	2497373	4988372	4982014.27	1	4988372	6374	2	4994746	2497373	4988372	4982014.27	1	4988372	6374	0	0	0	0	0	0	0	0	1196374:1307400:1298437:1192535	52.17	0	2	4994746	2497373	0	2	3	1.5	2	4988372	0	0	0	2	0	2	2	30	30
24-SA01811-0	40x	3	5019594	1673198	4988595	4957886.17	1	4988595	12748	3	5019594	1673198	4988595	4957886.17	1	4988595	12748	0	0	0	0	0	0	0	0	1203133:1313466:1304885:1198110	52.16	0	3	5019594	1673198	0	3	3	1	2	4988595	2	1	18251	3	0	2	2	40	>30
24-SA01811-0	50x	2	4991858	2495929	4988371	4984888.87	1	4988371	3487	2	4991858	2495929	4988371	4984888.87	1	4988371	3487	0	0	0	0	0	0	0	0	1191442:1297740:1306767:1195909	52.18	0	2	4991858	2495929	0	2	3	1.5	2	4988371	0	0	0	2	0	2	2	50	>30
24-SA01811-0	60x	2	4991907	2495953.5	4988373	4984844	1	4988373	3534	2	4991907	2495953.5	4988373	4984844	1	4988373	3534	0	0	0	0	0	0	0	0	1195711:1306728:1297735:1191733	52.17	0	2	4991907	2495953.5	0	2	3	1.5	2	4988373	0	0	0	2	0	2	2	60	>30
24-SA01811-0	70x	2	4994744	2497372	4988370	4982012.27	1	4988370	6374	2	4994744	2497372	4988370	4982012.27	1	4988370	6374	0	0	0	0	0	0	0	0	1196373:1307402:1298440:1192529	52.17	0	2	4994744	2497372	0	2	3	1.5	2	4988370	0	0	0	2	0	2	2	70	>30
24-SA01811-0	80x	2	4991559	2495779.5	4988372	4985189.07	1	4988372	3187	2	4991559	2495779.5	4988372	4985189.07	1	4988372	3187	0	0	0	0	0	0	0	0	1191383:1297648:1306687:1195841	52.17	0	2	4991559	2495779.5	0	2	3	1.5	2	4988372	0	0	0	2	0	2	2	80	>30
24-SA01811-0	90x	2	4994746	2497373	4988372	4982014.27	1	4988372	6374	2	4994746	2497373	4988372	4982014.27	1	4988372	6374	0	0	0	0	0	0	0	0	1192530:1298440:1307403:1196373	52.17	0	2	4994746	2497373	0	2	3	1.5	2	4988372	0	0	0	2	0	2	2	90	>30
24-SA02190-0	100x	3	4757086	1585695.33	4734883	4712855.8	1	4734883	4144	3	4757086	1585695.33	4734883	4712855.8	1	4734883	4144	0	0	0	0	0	0	0	0	1138906:1240446:1240411:1137323	52.15	0	3	4757086	1585695.33	0	3	3	1	2	4734883	2	1	4144	3	0	2	2	100	>30
24-SA02190-0	10x	8	4730451	591306.38	1221508	1056952.54	2	1241136	2393	8	4730451	591306.38	1221508	1056952.54	2	1241136	2393	0	0	0	0	0	0	0	0	1133109:1237298:1230921:1129123	52.18	0	8	4730451	591306.38	0	8	1	0.12	1	3606	14	7	4726845	8	0	1	1	10	10
24-SA02190-0	150x	3	4744844	1581614.67	4734881	4724951.48	1	4734881	2751	3	4744844	1581614.67	4734881	4724951.48	1	4734881	2751	0	0	0	0	0	0	0	0	1135018:1237522:1237840:1134464	52.17	0	3	4744844	1581614.67	0	3	3	1	2	4734881	2	1	2751	3	0	2	2	150	>30
24-SA02190-0	20x	3	4744522	1581507.33	4734917	4725343.61	1	4734917	2394	3	4744522	1581507.33	4734917	4725343.61	1	4734917	2394	0	0	0	0	0	0	0	0	1134275:1237746:1237467:1135034	52.17	0	3	4744522	1581507.33	0	3	3	1	2	4734917	2	1	2394	3	0	2	2	20	20
24-SA02190-0	30x	4	4739938	1184984.5	4734886	4729841.48	1	4734886	757	4	4739938	1184984.5	4734886	4729841.48	1	4734886	757	0	0	0	0	0	0	0	0	1132877:1236672:1236507:1133882	52.18	0	4	4739938	1184984.5	0	4	5	1.25	2	4734886	2	1	2393	3	1	2	2	30	30
24-SA02190-0	40x	3	4760341	1586780.33	4734691	4709280.58	1	4734691	4061	3	4760341	1586780.33	4734691	4709280.58	1	4734691	4061	0	0	0	0	0	0	0	0	1137953:1240778:1240962:1140648	52.13	0	3	4760341	1586780.33	0	3	3	1	2	4734691	2	1	4061	3	0	2	2	40	>30
24-SA02190-0	50x	3	4748093	1582697.67	4734884	4721737.58	1	4734884	2395	3	4748093	1582697.67	4734884	4721737.58	1	4734884	2395	0	0	0	0	0	0	0	0	1135957:1238226:1238559:1135351	52.16	0	3	4748093	1582697.67	0	3	3	1	2	4734884	2	1	2395	3	0	2	2	50	>30
24-SA02190-0	60x	3	4744505	1581501.67	4734885	4725296.69	1	4734885	2408	3	4744505	1581501.67	4734885	4725296.69	1	4734885	2408	0	0	0	0	0	0	0	0	1134270:1237745:1237458:1135032	52.17	0	3	4744505	1581501.67	0	3	4	1.33	3	4734885	0	0	0	3	0	3	3	60	>30
24-SA02190-0	70x	3	4744486	1581495.33	4734881	4725307.61	1	4734881	2393	3	4744486	1581495.33	4734881	4725307.61	1	4734881	2393	0	0	0	0	0	0	0	0	1133960:1237625:1237572:1135329	52.17	0	3	4744486	1581495.33	0	3	3	1	2	4734881	2	1	2393	3	0	2	2	70	>30
24-SA02190-0	80x	3	4748041	1582680.33	4734880	4721781.14	1	4734880	2385	3	4748041	1582680.33	4734880	4721781.14	1	4734880	2385	0	0	0	0	0	0	0	0	1135334:1238553:1238208:1135946	52.16	0	3	4748041	1582680.33	0	3	3	1	2	4734880	2	1	2385	3	0	2	2	80	>30
24-SA02190-0	90x	3	4742465	1580821.67	4734884	4727321.19	1	4734884	3609	3	4742465	1580821.67	4734884	4727321.19	1	4734884	3609	0	0	0	0	0	0	0	0	1134502:1237108:1237307:1133548	52.18	0	3	4742465	1580821.67	0	3	4	1.33	2	4734884	2	1	3972	3	0	2	2	90	>30
24-SA02197-0	100x	2	4917654	2458827	4823805	4733538.05	1	4823805	93849	2	4917654	2458827	4823805	4733538.05	1	4823805	93849	0	0	0	0	0	0	0	0	1175522:1281748:1284887:1175497	52.19	0	2	4917654	2458827	0	2	3	1.5	2	4823805	0	0	0	2	0	2	2	100	>30
24-SA02197-0	10x	7	4912758	701822.57	1115139	1415403.01	2	2193259	88224	7	4912758	701822.57	1115139	1415403.01	2	2193259	88224	0	0	0	0	0	0	0	0	1170742:1262709:1301559:1177748	52.2	0	7	4912758	701822.57	0	7	2	0.29	1	1428897	11	4	3483861	5	0	0	0	10	10
24-SA02197-0	150x	2	4917653	2458826.5	4823804	4733537.05	1	4823804	93849	2	4917653	2458826.5	4823804	4733537.05	1	4823804	93849	0	0	0	0	0	0	0	0	1174949:1283524:1283108:1176072	52.19	0	2	4917653	2458826.5	0	2	3	1.5	2	4823804	0	0	0	2	0	2	2	150	>30
24-SA02197-0	200x	2	4917652	2458826	4823803	4733536.05	1	4823803	93849	2	4917652	2458826	4823803	4733536.05	1	4823803	93849	0	0	0	0	0	0	0	0	1175521:1281745:1284887:1175499	52.19	0	2	4917652	2458826	0	2	3	1.5	2	4823803	0	0	0	2	0	2	2	200	>30
24-SA02197-0	20x	2	4917282	2458641	4823433	4733166.32	1	4823433	93849	2	4917282	2458641	4823433	4733166.32	1	4823433	93849	0	0	0	0	0	0	0	0	1175073:1283393:1282789:1176027	52.19	0	2	4917282	2458641	0	2	3	1.5	2	4823433	0	0	0	2	0	2	2	20	20
24-SA02197-0	30x	4	4927119	1231779.75	4823808	4724460.46	1	4823808	3774	4	4927119	1231779.75	4823808	4724460.46	1	4823808	3774	0	0	0	0	0	0	0	0	1177222:1286041:1285664:1178192	52.19	0	4	4927119	1231779.75	0	4	4	1	2	4823808	4	2	9456	4	0	2	2	30	30
24-SA02197-0	40x	2	4917654	2458827	4823805	4733538.05	1	4823805	93849	2	4917654	2458827	4823805	4733538.05	1	4823805	93849	0	0	0	0	0	0	0	0	1174949:1283524:1283108:1176073	52.19	0	2	4917654	2458827	0	2	3	1.5	2	4823805	0	0	0	2	0	2	2	40	>30
24-SA02197-0	50x	2	4917653	2458826.5	4823804	4733537.05	1	4823804	93849	2	4917653	2458826.5	4823804	4733537.05	1	4823804	93849	0	0	0	0	0	0	0	0	1174948:1283525:1283108:1176072	52.19	0	2	4917653	2458826.5	0	2	3	1.5	2	4823804	0	0	0	2	0	2	2	50	>30
24-SA02197-0	60x	2	4917655	2458827.5	4823806	4733539.05	1	4823806	93849	2	4917655	2458827.5	4823806	4733539.05	1	4823806	93849	0	0	0	0	0	0	0	0	1176072:1283108:1283525:1174950	52.19	0	2	4917655	2458827.5	0	2	3	1.5	2	4823806	0	0	0	2	0	2	2	60	>30
24-SA02197-0	70x	2	4917653	2458826.5	4823804	4733537.05	1	4823804	93849	2	4917653	2458826.5	4823804	4733537.05	1	4823804	93849	0	0	0	0	0	0	0	0	1174949:1283524:1283108:1176072	52.19	0	2	4917653	2458826.5	0	2	3	1.5	2	4823804	0	0	0	2	0	2	2	70	>30
24-SA02197-0	80x	2	4917653	2458826.5	4823804	4733537.05	1	4823804	93849	2	4917653	2458826.5	4823804	4733537.05	1	4823804	93849	0	0	0	0	0	0	0	0	1175521:1281745:1284887:1175500	52.19	0	2	4917653	2458826.5	0	2	3	1.5	2	4823804	0	0	0	2	0	2	2	80	>30
24-SA02197-0	90x	3	4920477	1640159	4823804	4730806.42	1	4823804	3246	3	4920477	1640159	4823804	4730806.42	1	4823804	3246	0	0	0	0	0	0	0	0	1176580:1284020:1283158:1176719	52.17	0	3	4920477	1640159	0	3	4	1.33	3	4823804	0	0	0	3	0	3	3	90	>30
24-SA02203-0	100x	3	4966367	1655455.67	4863383	4764324.63	1	4863383	9139	3	4966367	1655455.67	4863383	4764324.63	1	4863383	9139	0	0	0	0	0	0	0	0	1187221:1295554:1295963:1187629	52.18	0	3	4966367	1655455.67	0	3	5	1.67	3	4863383	0	0	0	3	0	3	3	100	>30
24-SA02203-0	10x	7	4942606	706086.57	1644502	1591571.9	2	1660171	4515	7	4942606	706086.57	1644502	1591571.9	2	1660171	4515	0	0	0	0	0	0	0	0	1183603:1288235:1289079:1181689	52.14	0	7	4942606	706086.57	0	7	3	0.43	2	3304673	9	4	1621429	6	0	2	2	10	10
24-SA02203-0	150x	3	4966365	1655455	4863382	4764324.55	1	4863382	9139	3	4966365	1655455	4863382	4764324.55	1	4863382	9139	0	0	0	0	0	0	0	0	1186711:1295600:1295916:1188138	52.18	0	3	4966365	1655455	0	3	5	1.67	3	4863382	0	0	0	3	0	3	3	150	>30
24-SA02203-0	200x	3	4966328	1655442.67	4863382	4764359.91	1	4863382	9102	3	4966328	1655442.67	4863382	4764359.91	1	4863382	9102	0	0	0	0	0	0	0	0	1186703:1295590:1295904:1188131	52.18	0	3	4966328	1655442.67	0	3	5	1.67	3	4863382	0	0	0	3	0	3	3	200	>30
24-SA02203-0	20x	3	4966372	1655457.33	4863390	4764333.47	1	4863390	9139	3	4966372	1655457.33	4863390	4764333.47	1	4863390	9139	0	0	0	0	0	0	0	0	1186715:1295602:1295915:1188140	52.18	0	3	4966372	1655457.33	0	3	4	1.33	3	4863390	0	0	0	3	0	3	3	20	20
24-SA02203-0	30x	3	4966370	1655456.67	4863386	4764327.63	1	4863386	9139	3	4966370	1655456.67	4863386	4764327.63	1	4863386	9139	0	0	0	0	0	0	0	0	1186711:1295602:1295916:1188141	52.18	0	3	4966370	1655456.67	0	3	4	1.33	3	4863386	0	0	0	3	0	3	3	30	30
24-SA02203-0	40x	3	4975509	1658503	4863386	4755626.88	1	4863386	18278	3	4975509	1658503	4863386	4755626.88	1	4863386	18278	0	0	0	0	0	0	0	0	1190170:1296197:1300221:1188921	52.18	0	3	4975509	1658503	0	3	4	1.33	3	4863386	0	0	0	3	0	3	3	40	>30
24-SA02203-0	50x	3	4966369	1655456.33	4863386	4764328.55	1	4863386	9139	3	4966369	1655456.33	4863386	4764328.55	1	4863386	9139	0	0	0	0	0	0	0	0	1187223:1295553:1295963:1187630	52.18	0	3	4966369	1655456.33	0	3	4	1.33	3	4863386	0	0	0	3	0	3	3	50	>30
24-SA02203-0	60x	3	4966368	1655456	4863385	4764327.55	1	4863385	9139	3	4966368	1655456	4863385	4764327.55	1	4863385	9139	0	0	0	0	0	0	0	0	1187629:1295963:1295554:1187222	52.18	0	3	4966368	1655456	0	3	4	1.33	3	4863385	0	0	0	3	0	3	3	60	>30
24-SA02203-0	70x	3	4974346	1658115.33	4863384	4756726.54	1	4863384	17118	3	4974346	1658115.33	4863384	4756726.54	1	4863384	17118	0	0	0	0	0	0	0	0	1188387:1297786:1298016:1190157	52.18	0	3	4974346	1658115.33	0	3	4	1.33	3	4863384	0	0	0	3	0	3	3	70	>30
24-SA02203-0	80x	5	4992321	998464.2	4863382	4739587.56	1	4863382	9139	5	4992321	998464.2	4863382	4739587.56	1	4863382	9139	0	0	0	0	0	0	0	0	1194212:1299331:1304407:1194371	52.15	0	5	4992321	998464.2	0	5	5	1	3	4863382	4	2	27015	5	0	3	3	80	>30
24-SA02203-0	90x	3	4975503	1658501	4863381	4755622.8	1	4863381	18278	3	4975503	1658501	4863381	4755622.8	1	4863381	18278	0	0	0	0	0	0	0	0	1189593:1297981:1298437:1189492	52.18	0	3	4975503	1658501	0	3	4	1.33	3	4863381	0	0	0	3	0	3	3	90	>30
24-SA02218-0	100x	3	4802493	1600831	4783995	4765603.88	1	4783995	9170	3	4802493	1600831	4783995	4765603.88	1	4783995	9170	0	0	0	0	0	0	0	0	1148144:1254611:1250052:1149686	52.15	0	3	4802493	1600831	0	3	4	1.33	3	4783995	0	0	0	3	0	3	3	100	>30
24-SA02218-0	10x	14	4786656	341904	706210	726288.07	3	1046508	1029	14	4786656	341904	706210	726288.07	3	1046508	1029	0	0	0	0	0	0	0	0	1144989:1250179:1245067:1146421	52.13	0	14	4786656	341904	0	14	5	0.36	3	2150986	21	9	2616693	12	0	2	2	10	10
24-SA02218-0	150x	5	4803849	960769.8	4783996	4764250.63	1	4783996	3211	5	4803849	960769.8	4783996	4764250.63	1	4783996	3211	0	0	0	0	0	0	0	0	1148610:1254415:1250669:1150155	52.15	0	5	4803849	960769.8	0	5	4	0.8	3	4783996	4	2	6422	5	0	3	3	150	>30
24-SA02218-0	200x	3	4797829	1599276.33	4783993	4770218.97	1	4783993	4664	3	4797829	1599276.33	4783993	4770218.97	1	4783993	4664	0	0	0	0	0	0	0	0	1147024:1253275:1249008:1148522	52.15	0	3	4797829	1599276.33	0	3	4	1.33	3	4783993	0	0	0	3	0	3	3	200	>30
24-SA02218-0	20x	5	4804060	960812	4784114	4764275.91	1	4784114	3211	5	4804060	960812	4784114	4764275.91	1	4784114	3211	0	0	0	0	0	0	0	0	1150378:1250400:1254578:1148704	52.14	0	5	4804060	960812	0	5	4	0.8	3	4784114	4	2	6422	5	0	3	3	20	20
24-SA02218-0	30x	3	4797466	1599155.33	4784001	4770594.47	1	4784001	4664	3	4797466	1599155.33	4784001	4770594.47	1	4784001	4664	0	0	0	0	0	0	0	0	1146891:1252587:1249519:1148469	52.15	0	3	4797466	1599155.33	0	3	4	1.33	3	4784001	0	0	0	3	0	3	3	30	30
24-SA02218-0	40x	5	4799815	959963	4784000	4768250.6	1	4784000	3210	5	4799815	959963	4784000	4768250.6	1	4784000	3210	0	0	0	0	0	0	0	0	1149086:1249994:1253196:1147539	52.15	0	5	4799815	959963	0	5	5	1	3	4784000	4	2	6420	5	0	3	3	40	>30
24-SA02218-0	50x	5	4808916	961783.2	4783997	4759247	1	4783997	3210	5	4808916	961783.2	4783997	4759247	1	4783997	3210	0	0	0	0	0	0	0	0	1149875:1256108:1251578:1151355	52.15	0	5	4808916	961783.2	0	5	4	0.8	3	4783997	4	2	6420	5	0	3	3	50	>30
24-SA02218-0	60x	7	4805681	686525.86	4783995	4762431.82	1	4783995	715	7	4805681	686525.86	4783995	4762431.82	1	4783995	715	0	0	0	0	0	0	0	0	1149204:1254769:1251056:1150652	52.14	0	7	4805681	686525.86	0	7	5	0.71	3	4783995	8	4	10188	7	0	3	3	60	>30
24-SA02218-0	70x	5	4808954	961790.8	4784070	4759354.5	1	4784070	3210	5	4808954	961790.8	4784070	4759354.5	1	4784070	3210	0	0	0	0	0	0	0	0	1151450:1252094:1255571:1149839	52.15	0	5	4808954	961790.8	0	5	4	0.8	3	4784070	4	2	6420	5	0	3	3	70	>30
24-SA02218-0	80x	5	4809202	961840.4	4783997	4758965.09	1	4783997	3210	5	4809202	961840.4	4783997	4758965.09	1	4783997	3210	0	0	0	0	0	0	0	0	1151461:1252536:1255322:1149883	52.15	0	5	4809202	961840.4	0	5	4	0.8	3	4783997	4	2	6422	5	0	3	3	80	>30
24-SA02218-0	90x	5	4799666	959933.2	4783997	4768392.36	1	4783997	3210	5	4799666	959933.2	4783997	4768392.36	1	4783997	3210	0	0	0	0	0	0	0	0	1149042:1249780:1253347:1147497	52.15	0	5	4799666	959933.2	0	5	4	0.8	3	4783997	4	2	6420	5	0	3	3	90	>30
24-SA02222-0	100x	6	4978402	829733.67	4820123	4668755.63	1	4820123	7319	6	4978402	829733.67	4820123	4668755.63	1	4820123	7319	0	0	0	0	0	0	0	0	1191226:1297386:1295856:1193934	52.09	0	6	4978402	829733.67	0	6	6	1	4	4820123	4	2	16369	6	0	4	4	100	>30
24-SA02222-0	10x	5	4960558	992111.6	4256998	3717886.88	1	4256998	10640	5	4960558	992111.6	4256998	3717886.88	1	4256998	10640	0	0	0	0	0	0	0	0	1185757:1278206:1305044:1191551	52.08	0	5	4960558	992111.6	0	5	4	0.8	3	86865	4	2	4814438	5	0	3	3	10	10
24-SA02222-0	20x	4	4961728	1240432	4820124	4684581.92	1	4820124	5618	4	4961728	1240432	4820124	4684581.92	1	4820124	5618	0	0	0	0	0	0	0	0	1187509:1291227:1292971:1190021	52.08	0	4	4961728	1240432	0	4	5	1.25	4	4820124	0	0	0	4	0	4	4	20	20
24-SA02222-0	30x	6	4973873	828978.83	4820128	4673160.01	1	4820128	691	6	4973873	828978.83	4820128	4673160.01	1	4820128	691	0	0	0	0	0	0	0	0	1193076:1295541:1294825:1190431	52.08	0	6	4973873	828978.83	0	6	5	0.83	4	4820128	4	2	7193	6	0	4	4	30	30
24-SA02222-0	40x	6	4971699	828616.5	4820126	4675206.77	1	4820126	2205	6	4971699	828616.5	4820126	4675206.77	1	4820126	2205	0	0	0	0	0	0	0	0	1192540:1293549:1295205:1190405	52.07	0	6	4971699	828616.5	0	6	6	1	4	4820126	4	2	4518	6	0	4	4	40	>30
24-SA02222-0	50x	4	4978458	1244614.5	4820125	4668932.95	1	4820125	22444	4	4978458	1244614.5	4820125	4668932.95	1	4820125	22444	0	0	0	0	0	0	0	0	1192700:1295014:1297061:1193683	52.07	0	4	4978458	1244614.5	0	4	5	1.25	4	4820125	0	0	0	4	0	4	4	50	>30
24-SA02222-0	60x	4	4967260	1241815	4820124	4679380.68	1	4820124	11239	4	4967260	1241815	4820124	4679380.68	1	4820124	11239	0	0	0	0	0	0	0	0	1188994:1293052:1293740:1191474	52.08	0	4	4967260	1241815	0	4	5	1.25	4	4820124	0	0	0	4	0	4	4	60	>30
